what,kind,bundleId,bundleVersion,description,time
started,bundle,oracle.eclipse.tools.envcheck,4.3.1.201209271754,"oracle.eclipse.tools.envcheck",1453336716325
started,bundle,oracle.eclipse.tools.weblogic,4.3.1.201209271754,"oracle.eclipse.tools.weblogic",1453336716325
started,bundle,oracle.eclipse.tools.weblogic.scripting.ui,4.3.1.201209271754,"oracle.eclipse.tools.weblogic.scripting.ui",1453336716325
started,bundle,oracle.eclipse.tools.weblogic.ui,4.3.1.201209271754,"oracle.eclipse.tools.weblogic.ui",1453336716325
started,bundle,oracle.eclipse.tools.webservices.ui,4.3.1.201209271754,"oracle.eclipse.tools.webservices.ui",1453336716356
started,bundle,oracle.eclipse.tools.xmlbeans,4.3.1.201209271754,"oracle.eclipse.tools.xmlbeans",1453336716356
started,bundle,org.eclipse.sapphire.modeling,0.5.3.201209191432,"org.eclipse.sapphire.modeling",1453336716403
started,bundle,org.eclipse.sapphire.ui,0.5.3.201209191432,"org.eclipse.sapphire.ui",1453336716418
started,bundle,org.python.pydev,2.5.0.2012040618,"org.python.pydev",1453336716434
started,bundle,org.python.pydev.core,2.5.0.2012040618,"org.python.pydev.core",1453336716465
started,bundle,com.collabnet.subversion.merge,3.0.13,"com.collabnet.subversion.merge",1453336716465
started,bundle,org.tigris.subversion.clientadapter,1.8.6,"org.tigris.subversion.clientadapter",1453336716481
started,bundle,org.tigris.subversion.subclipse.core,1.8.22,"org.tigris.subversion.subclipse.core",1453336716497
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1453336716512
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1453336716528
started,bundle,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui",1453336716543
os,sysinfo,,,"win32",1453336716543
arch,sysinfo,,,"x86",1453336716543
ws,sysinfo,,,"win32",1453336716543
locale,sysinfo,,,"zh_CN",1453336716543
processors,sysinfo,,,"2",1453336716543
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1453336716543
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1453336716543
java.specification.name,sysinfo,,,"Java Platform API Specification",1453336716543
java.specification.vendor,sysinfo,,,"Oracle Corporation",1453336716543
java.specification.version,sysinfo,,,"1.7",1453336716543
java.vendor,sysinfo,,,"Oracle Corporation",1453336716543
java.version,sysinfo,,,"1.7.0_17",1453336716543
java.vm.info,sysinfo,,,"mixed mode, sharing",1453336716543
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1453336716543
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1453336716543
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1453336716543
java.vm.specification.version,sysinfo,,,"1.7",1453336716543
java.vm.vendor,sysinfo,,,"Oracle Corporation",1453336716543
java.vm.version,sysinfo,,,"23.7-b01",1453336716543
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1453336722043
