what,kind,bundleId,bundleVersion,description,time
started,bundle,oracle.eclipse.tools.common.upgrade,4.3.1.201209271754,"oracle.eclipse.tools.common.upgrade",1452959744499
started,bundle,oracle.eclipse.tools.envcheck,4.3.1.201209271754,"oracle.eclipse.tools.envcheck",1452959744500
started,bundle,oracle.eclipse.tools.weblogic,4.3.1.201209271754,"oracle.eclipse.tools.weblogic",1452959744500
started,bundle,oracle.eclipse.tools.weblogic.scripting.ui,4.3.1.201209271754,"oracle.eclipse.tools.weblogic.scripting.ui",1452959744502
started,bundle,oracle.eclipse.tools.weblogic.ui,4.3.1.201209271754,"oracle.eclipse.tools.weblogic.ui",1452959744502
started,bundle,oracle.eclipse.tools.webservices.ui,4.3.1.201209271754,"oracle.eclipse.tools.webservices.ui",1452959744504
started,bundle,oracle.eclipse.tools.xmlbeans,4.3.1.201209271754,"oracle.eclipse.tools.xmlbeans",1452959744506
started,bundle,org.eclipse.sapphire.modeling,0.5.3.201209191432,"org.eclipse.sapphire.modeling",1452959744508
started,bundle,org.eclipse.sapphire.ui,0.5.3.201209191432,"org.eclipse.sapphire.ui",1452959744510
started,bundle,org.python.pydev,2.5.0.2012040618,"org.python.pydev",1452959744541
started,bundle,org.python.pydev.core,2.5.0.2012040618,"org.python.pydev.core",1452959744542
started,bundle,com.collabnet.subversion.merge,3.0.13,"com.collabnet.subversion.merge",1452959744543
started,bundle,org.tigris.subversion.clientadapter,1.8.6,"org.tigris.subversion.clientadapter",1452959744545
started,bundle,org.tigris.subversion.subclipse.core,1.8.22,"org.tigris.subversion.subclipse.core",1452959744546
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1452959744547
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1452959744548
started,bundle,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui",1452959744551
os,sysinfo,,,"win32",1452959744558
arch,sysinfo,,,"x86",1452959744558
ws,sysinfo,,,"win32",1452959744558
locale,sysinfo,,,"zh_CN",1452959744558
processors,sysinfo,,,"2",1452959744558
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1452959744558
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1452959744558
java.specification.name,sysinfo,,,"Java Platform API Specification",1452959744558
java.specification.vendor,sysinfo,,,"Oracle Corporation",1452959744558
java.specification.version,sysinfo,,,"1.7",1452959744558
java.vendor,sysinfo,,,"Oracle Corporation",1452959744558
java.version,sysinfo,,,"1.7.0_17",1452959744558
java.vm.info,sysinfo,,,"mixed mode, sharing",1452959744558
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1452959744558
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1452959744558
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1452959744558
java.vm.specification.version,sysinfo,,,"1.7",1452959744558
java.vm.vendor,sysinfo,,,"Oracle Corporation",1452959744558
java.vm.version,sysinfo,,,"23.7-b01",1452959744558
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1452959744724
started,bundle,oracle.eclipse.tools.webservices,4.3.1.201209271754,"oracle.eclipse.tools.webservices",1452959744828
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1452959749897
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1452959749902
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1452959749924
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1452959749941
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1452959773813
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452959775124
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1452959775339
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452959775343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452959778374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452959822740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1452959822775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1452959822776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452959826680
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.10,"org.tigris.subversion.clientadapter.javahl",1452959836810
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.7.9.2,"org.tigris.subversion.clientadapter.svnkit",1452959836833
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1452959837268
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1452959837350
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1452959837363
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1452959837380
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1452959837390
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1452959837394
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1452959837459
